"Клиент ИмяФамилия (e-16292784), период 01.03.2023 - 27.06.2023"
"Всего";;"Ср.расход за день (руб.)";"Показы";"Клики";"Расход (руб.)";"Ср. позиция кликов";"Конверсии/Отправка формы «Детский Лагерь»";"Конверсии/Звонок Calltouch (М)";"Конверсии/Лагерь - заявка отправлена (страница спасибо) (М)";"Конверсии/Летний лагерь Академия лидеров небо";"Конверсии/Лагерь 2023";"Конверсии/Лагерь с проживанием"
"с 01.03.2023 по 27.06.2023";;11361,40;917727;12829;1170224,30;1,93;-;78;-;-;381;3

"Дата";"Кампания";"№ Кампании";"Группа";"№ Группы";"Тип устройства";"Показы";"Клики";"Расход (руб.)";"Ср. позиция кликов";"Конверсии/Отправка формы «Детский Лагерь»";"Конверсии/Звонок Calltouch (М)";"Конверсии/Лагерь - заявка отправлена (страница спасибо) (М)";"Конверсии/Летний лагерь Академия лидеров небо";"Конверсии/Лагерь 2023";"Конверсии/Лагерь с проживанием"
19.03.2023;"Лагерь в НЕБО | Мастер | 23 – 1";84888494;"Лагерь в НЕБО | Мастер | 23 – 1";5153914217;"планшеты";10;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневной лагерь";5153889035;"десктоп";5;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневной лагерь";5153889035;"мобильные";11;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания";5153889036;"десктоп";5;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания";5153889036;"мобильные";1;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний дневной лагерь";5153889037;"десктоп";5;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний дневной лагерь";5153889037;"мобильные";5;1;65,81;1,00;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний лагерь в городе";5153889038;"десктоп";1;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний лагерь дневного пребывания";5153889040;"десктоп";4;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания детей";5153889042;"десктоп";1;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания детей";5153889042;"мобильные";1;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневной лагерь в москве";5153889043;"десктоп";2;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневной лагерь в москве";5153889043;"мобильные";2;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания москва";5153889045;"десктоп";1;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"детский лагерь дневного пребывания";5153889047;"десктоп";4;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"детский лагерь дневного пребывания";5153889047;"мобильные";1;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь дневного пребывания 2023 москва";5153889049;"мобильные";1;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"детский лагерь в москве дневной";5153889050;"десктоп";2;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"детский лагерь в москве дневной";5153889050;"мобильные";5;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний школьный лагерь дневного пребывания";5153889051;"десктоп";1;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"городской лагерь дневного";5153889052;"десктоп";2;1;80,91;2,00;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"городские лагеря дневного пребывания";5153889053;"десктоп";2;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"городские лагеря дневного пребывания";5153889053;"мобильные";2;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь в городе москва";5153889054;"мобильные";1;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневной лагерь для детей";5153889055;"мобильные";3;1;58,45;2,00;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"детский лагерь в городе";5153889057;"мобильные";1;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь свао";5153889058;"мобильные";3;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"школьный лагерь дневного пребывания на летние каникулы";5153889059;"десктоп";3;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"школьный лагерь дневного пребывания на летние каникулы";5153889059;"мобильные";3;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь вао";5153889061;"мобильные";2;1;57,04;1,00;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний лагерь дневного пребывания москва";5153889062;"десктоп";2;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний лагерь вао";5153889073;"мобильные";2;1;75,07;2,00;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь сзао";5153889077;"мобильные";1;0;0,00;-;-;-;-;-;-;-
